珠江宽频,#genre#
游戏风云高清,http://119.32.12.13:2901/udp/225.1.101.117:7523
魅力足球高清,http://119.32.12.13:2901/udp/225.1.101.120:7523
生活时尚高清,http://119.32.12.13:2901/udp/225.1.101.122:7523
都市剧场高清,http://119.32.12.13:2901/udp/225.1.101.123:7523
重温经典高清,http://119.32.12.13:2901/udp/225.1.101.126:7523
金色学堂高清,http://119.32.12.13:2901/udp/225.1.101.137:7523
高铁电视高清,http://119.32.12.13:2901/udp/225.1.101.147:7523
环球阿拉伯语,http://119.32.12.13:2901/udp/225.1.101.148:7523
卡酷卡通高清,http://119.32.12.13:2901/udp/225.1.101.149:7523
人民铁道高清,http://119.32.12.13:2901/udp/225.1.101.156:7523
新视觉高清ᴴᴰ,http://119.32.12.13:2901/udp/225.1.101.162:7523
环球法语高清,http://119.32.12.13:2901/udp/225.1.101.165:7523
中教四台高清,http://119.32.12.13:2901/udp/225.1.101.170:7523
法治天地高清,http://119.32.12.13:2901/udp/225.1.101.176:7523
纪实科教高清,http://119.32.12.13:2901/udp/225.1.101.182:7523
环球法语高清,http://119.32.12.13:2901/udp/225.1.101.200:7523
CCTV-4Kᵁᴴᴰ,http://119.32.12.31:2901/udp/225.1.101.109:7523
CCTV-1高清,http://119.32.12.31:2901/udp/225.1.101.12:7523
CCTV-2高清,http://119.32.12.31:2901/udp/225.1.101.26:7523
CCTV-3高清,http://119.32.12.31:2901/udp/225.1.101.121:7523
CCTV-4高清,http://119.32.12.31:2901/udp/225.1.101.52:7523
CCTV-5高清,http://119.32.12.31:2901/udp/225.1.101.187:7523
CCTV-6高清,http://119.32.12.31:2901/udp/225.1.101.94:7523
CCTV-7高清,http://119.32.12.31:2901/udp/225.1.101.27:7523
CCTV-8高清,http://119.32.12.31:2901/udp/225.1.101.98:7523
CCTV-9高清,http://119.32.12.31:2901/udp/225.1.101.28:7523
CCTV10高清,http://119.32.12.31:2901/udp/225.1.101.30:7523
CCTV11高清,http://119.32.12.31:2901/udp/225.1.101.100:7523
CCTV12高清,http://119.32.12.31:2901/udp/225.1.101.33:7523
CCTV13高清,http://119.32.12.31:2901/udp/225.1.101.125:7523
CCTV14高清,http://119.32.12.31:2901/udp/225.1.101.34:7523
CCTV15高清,http://119.32.12.31:2901/udp/225.1.101.160:7523
CCTV16高清,http://119.32.12.31:2901/udp/225.1.101.133:7523
CCTV16—4K,http://119.32.12.31:2901/udp/225.1.101.130:7523
CCTV17高清,http://119.32.12.31:2901/udp/225.1.101.161:7523
CCTV5+高清,http://119.32.12.31:2901/udp/225.1.101.124:7523
CHC影迷电影,http://119.32.12.31:2901/udp/225.1.101.140:7523
CHC动作电影,http://119.32.12.31:2901/udp/225.1.101.189:7523
CHC家庭影院,http://119.32.12.31:2901/udp/225.1.101.192:7523
TVB翡翠高清,http://119.32.12.31:2901/udp/225.1.101.45:7523
TVB明珠高清,http://119.32.12.31:2901/udp/225.1.101.139:7523
澳视澳门高清,http://119.32.12.31:2901/udp/225.1.101.224:7523
海南卫视高清,http://119.32.12.31:2901/udp/225.1.101.4:7523
青海卫视高清,http://119.32.12.31:2901/udp/225.1.101.20:7523
广西卫视高清,http://119.32.12.31:2901/udp/225.1.101.21:7523
甘肃卫视高清,http://119.32.12.31:2901/udp/225.1.101.24:7523
四川卫视高清,http://119.32.12.31:2901/udp/225.1.101.29:7523
安徽卫视高清,http://119.32.12.31:2901/udp/225.1.101.57:7523
贵州卫视高清,http://119.32.12.31:2901/udp/225.1.101.58:7523
黑龙江卫视ᴴᴰ,http://119.32.12.31:2901/udp/225.1.101.61:7523
东南卫视高清,http://119.32.12.31:2901/udp/225.1.101.89:7523
河南卫视高清,http://119.32.12.31:2901/udp/225.1.101.91:7523
重庆卫视高清,http://119.32.12.31:2901/udp/225.1.101.105:7523
湖北卫视高清,http://119.32.12.31:2901/udp/225.1.101.112:7523
江西卫视高清,http://119.32.12.31:2901/udp/225.1.101.118:7523
河北卫视高清,http://119.32.12.31:2901/udp/225.1.101.127:7523
天津卫视高清,http://119.32.12.31:2901/udp/225.1.101.136:7523
深圳卫视高清,http://119.32.12.31:2901/udp/225.1.101.144:7523
东方卫视高清,http://119.32.12.31:2901/udp/225.1.101.145:7523
辽宁卫视高清,http://119.32.12.31:2901/udp/225.1.101.146:7523
北京卫视高清,http://119.32.12.31:2901/udp/225.1.101.150:7523
广东卫视高清,http://119.32.12.31:2901/udp/225.1.101.151:7523
江苏卫视高清,http://119.32.12.31:2901/udp/225.1.101.153:7523
浙江卫视高清,http://119.32.12.31:2901/udp/225.1.101.154:7523
吉林卫视高清,http://119.32.12.31:2901/udp/225.1.101.155:7523
三沙卫视高清,http://119.32.12.31:2901/udp/225.1.101.173:7523
山东卫视高清,http://119.32.12.31:2901/udp/225.1.101.185:7523
湖南卫视高清,http://119.32.12.31:2901/udp/225.1.101.199:7523
云南卫视高清,http://119.32.12.31:2901/udp/225.1.101.204:7523
广州竞技高清,http://119.32.12.31:2901/udp/225.1.101.1:7523
广州影视高清,http://119.32.12.31:2901/udp/225.1.101.5:7523
广东超清—4K,http://119.32.12.31:2901/udp/225.1.101.44:7523
广东民生高清,http://119.32.12.31:2901/udp/225.1.101.49:7523
广东湾区卫视,http://119.32.12.31:2901/udp/225.1.101.62:7523
广东影视高清,http://119.32.12.31:2901/udp/225.1.101.64:7523
广东新闻高清,http://119.32.12.31:2901/udp/225.1.101.65:7523
广东少儿高清,http://119.32.12.31:2901/udp/225.1.101.66:7523
广东体育高清,http://119.32.12.31:2901/udp/225.1.101.102:7523
广东珠江高清,http://119.32.12.31:2901/udp/225.1.101.106:7523
广东岭南戏曲,http://119.32.12.31:2901/udp/225.1.101.119:7523
广东嘉佳卡通,http://119.32.12.31:2901/udp/225.1.101.129:7523
广州综合高清,http://119.32.12.31:2901/udp/225.1.101.158:7523
广州新闻高清,http://119.32.12.31:2901/udp/225.1.101.159:7523
广州法治高清,http://119.32.12.31:2901/udp/225.1.101.203:7523
广东南方购物,http://119.32.12.31:2901/udp/225.1.101.201:7523
南国都市—4K,http://119.32.12.31:2901/udp/225.1.101.202:7523
广东经济科教,http://119.32.12.31:2901/udp/225.1.101.211:7523
环球英语高清,http://119.32.12.31:2901/udp/225.1.101.3:7523
央广购物高清,http://119.32.12.31:2901/udp/225.1.101.17:7523
中华美食高清,http://119.32.12.31:2901/udp/225.1.101.48:7523
快乐垂钓高清,http://119.32.12.31:2901/udp/225.1.101.54:7523
茶频道高清ᴴᴰ,http://119.32.12.31:2901/udp/225.1.101.59:7523
环球俄罗斯语,http://119.32.12.31:2901/udp/225.1.101.67:7523
中教一台高清,http://119.32.12.31:2901/udp/225.1.101.84:7523
东方财经高清,http://119.32.12.31:2901/udp/225.1.101.92:7523
环球西班牙语,http://119.32.12.31:2901/udp/225.1.101.93:7523
金鹰卡通高清,http://119.32.12.31:2901/udp/225.1.101.108:7523
上海乐游高清,http://119.32.12.31:2901/udp/225.1.101.111:7523
欢笑剧场高清,http://119.32.12.31:2901/udp/225.1.101.113:7523
劲爆体育高清,http://119.32.12.31:2901/udp/225.1.101.114:7523
动漫秀场高清,http://119.32.12.31:2901/udp/225.1.101.116:7523
游戏风云高清,http://119.32.12.31:2901/udp/225.1.101.117:7523
魅力足球高清,http://119.32.12.31:2901/udp/225.1.101.120:7523
生活时尚高清,http://119.32.12.31:2901/udp/225.1.101.122:7523
都市剧场高清,http://119.32.12.31:2901/udp/225.1.101.123:7523
重温经典高清,http://119.32.12.31:2901/udp/225.1.101.126:7523
金色学堂高清,http://119.32.12.31:2901/udp/225.1.101.137:7523
高铁电视高清,http://119.32.12.31:2901/udp/225.1.101.147:7523
环球阿拉伯语,http://119.32.12.31:2901/udp/225.1.101.148:7523
卡酷卡通高清,http://119.32.12.31:2901/udp/225.1.101.149:7523
人民铁道高清,http://119.32.12.31:2901/udp/225.1.101.156:7523
新视觉高清ᴴᴰ,http://119.32.12.31:2901/udp/225.1.101.162:7523
环球法语高清,http://119.32.12.31:2901/udp/225.1.101.165:7523
中教四台高清,http://119.32.12.31:2901/udp/225.1.101.170:7523
法治天地高清,http://119.32.12.31:2901/udp/225.1.101.176:7523
纪实科教高清,http://119.32.12.31:2901/udp/225.1.101.182:7523
环球法语高清,http://119.32.12.31:2901/udp/225.1.101.200:7523
CCTV-4Kᵁᴴᴰ,http://119.32.12.44:2901/udp/225.1.101.109:7523
CCTV-1高清,http://119.32.12.44:2901/udp/225.1.101.12:7523
CCTV-2高清,http://119.32.12.44:2901/udp/225.1.101.26:7523
CCTV-3高清,http://119.32.12.44:2901/udp/225.1.101.121:7523
CCTV-4高清,http://119.32.12.44:2901/udp/225.1.101.52:7523
CCTV-5高清,http://119.32.12.44:2901/udp/225.1.101.187:7523
CCTV-6高清,http://119.32.12.44:2901/udp/225.1.101.94:7523
CCTV-7高清,http://119.32.12.44:2901/udp/225.1.101.27:7523
CCTV-8高清,http://119.32.12.44:2901/udp/225.1.101.98:7523
CCTV-9高清,http://119.32.12.44:2901/udp/225.1.101.28:7523
CCTV10高清,http://119.32.12.44:2901/udp/225.1.101.30:7523
CCTV11高清,http://119.32.12.44:2901/udp/225.1.101.100:7523
CCTV12高清,http://119.32.12.44:2901/udp/225.1.101.33:7523
CCTV13高清,http://119.32.12.44:2901/udp/225.1.101.125:7523
CCTV14高清,http://119.32.12.44:2901/udp/225.1.101.34:7523
CCTV15高清,http://119.32.12.44:2901/udp/225.1.101.160:7523
CCTV16高清,http://119.32.12.44:2901/udp/225.1.101.133:7523
CCTV16—4K,http://119.32.12.44:2901/udp/225.1.101.130:7523
CCTV17高清,http://119.32.12.44:2901/udp/225.1.101.161:7523
CCTV5+高清,http://119.32.12.44:2901/udp/225.1.101.124:7523
CHC影迷电影,http://119.32.12.44:2901/udp/225.1.101.140:7523
CHC动作电影,http://119.32.12.44:2901/udp/225.1.101.189:7523
CHC家庭影院,http://119.32.12.44:2901/udp/225.1.101.192:7523
TVB翡翠高清,http://119.32.12.44:2901/udp/225.1.101.45:7523
TVB明珠高清,http://119.32.12.44:2901/udp/225.1.101.139:7523
澳视澳门高清,http://119.32.12.44:2901/udp/225.1.101.224:7523
海南卫视高清,http://119.32.12.44:2901/udp/225.1.101.4:7523
青海卫视高清,http://119.32.12.44:2901/udp/225.1.101.20:7523
广西卫视高清,http://119.32.12.44:2901/udp/225.1.101.21:7523
甘肃卫视高清,http://119.32.12.44:2901/udp/225.1.101.24:7523
四川卫视高清,http://119.32.12.44:2901/udp/225.1.101.29:7523
安徽卫视高清,http://119.32.12.44:2901/udp/225.1.101.57:7523
贵州卫视高清,http://119.32.12.44:2901/udp/225.1.101.58:7523
黑龙江卫视ᴴᴰ,http://119.32.12.44:2901/udp/225.1.101.61:7523
东南卫视高清,http://119.32.12.44:2901/udp/225.1.101.89:7523
河南卫视高清,http://119.32.12.44:2901/udp/225.1.101.91:7523
重庆卫视高清,http://119.32.12.44:2901/udp/225.1.101.105:7523
湖北卫视高清,http://119.32.12.44:2901/udp/225.1.101.112:7523
江西卫视高清,http://119.32.12.44:2901/udp/225.1.101.118:7523
河北卫视高清,http://119.32.12.44:2901/udp/225.1.101.127:7523
天津卫视高清,http://119.32.12.44:2901/udp/225.1.101.136:7523
深圳卫视高清,http://119.32.12.44:2901/udp/225.1.101.144:7523
东方卫视高清,http://119.32.12.44:2901/udp/225.1.101.145:7523
辽宁卫视高清,http://119.32.12.44:2901/udp/225.1.101.146:7523
北京卫视高清,http://119.32.12.44:2901/udp/225.1.101.150:7523
广东卫视高清,http://119.32.12.44:2901/udp/225.1.101.151:7523
江苏卫视高清,http://119.32.12.44:2901/udp/225.1.101.153:7523
浙江卫视高清,http://119.32.12.44:2901/udp/225.1.101.154:7523
吉林卫视高清,http://119.32.12.44:2901/udp/225.1.101.155:7523
三沙卫视高清,http://119.32.12.44:2901/udp/225.1.101.173:7523
山东卫视高清,http://119.32.12.44:2901/udp/225.1.101.185:7523
湖南卫视高清,http://119.32.12.44:2901/udp/225.1.101.199:7523
云南卫视高清,http://119.32.12.44:2901/udp/225.1.101.204:7523
广州竞技高清,http://119.32.12.44:2901/udp/225.1.101.1:7523
广州影视高清,http://119.32.12.44:2901/udp/225.1.101.5:7523
广东超清—4K,http://119.32.12.44:2901/udp/225.1.101.44:7523
广东民生高清,http://119.32.12.44:2901/udp/225.1.101.49:7523
广东湾区卫视,http://119.32.12.44:2901/udp/225.1.101.62:7523
广东影视高清,http://119.32.12.44:2901/udp/225.1.101.64:7523
广东新闻高清,http://119.32.12.44:2901/udp/225.1.101.65:7523
广东少儿高清,http://119.32.12.44:2901/udp/225.1.101.66:7523
广东体育高清,http://119.32.12.44:2901/udp/225.1.101.102:7523
广东珠江高清,http://119.32.12.44:2901/udp/225.1.101.106:7523
广东岭南戏曲,http://119.32.12.44:2901/udp/225.1.101.119:7523
广东嘉佳卡通,http://119.32.12.44:2901/udp/225.1.101.129:7523
广州综合高清,http://119.32.12.44:2901/udp/225.1.101.158:7523
广州新闻高清,http://119.32.12.44:2901/udp/225.1.101.159:7523
广州法治高清,http://119.32.12.44:2901/udp/225.1.101.203:7523
广东南方购物,http://119.32.12.44:2901/udp/225.1.101.201:7523
南国都市—4K,http://119.32.12.44:2901/udp/225.1.101.202:7523
广东经济科教,http://119.32.12.44:2901/udp/225.1.101.211:7523
环球英语高清,http://119.32.12.44:2901/udp/225.1.101.3:7523
央广购物高清,http://119.32.12.44:2901/udp/225.1.101.17:7523
中华美食高清,http://119.32.12.44:2901/udp/225.1.101.48:7523
快乐垂钓高清,http://119.32.12.44:2901/udp/225.1.101.54:7523
茶频道高清ᴴᴰ,http://119.32.12.44:2901/udp/225.1.101.59:7523
环球俄罗斯语,http://119.32.12.44:2901/udp/225.1.101.67:7523
中教一台高清,http://119.32.12.44:2901/udp/225.1.101.84:7523
东方财经高清,http://119.32.12.44:2901/udp/225.1.101.92:7523
环球西班牙语,http://119.32.12.44:2901/udp/225.1.101.93:7523
金鹰卡通高清,http://119.32.12.44:2901/udp/225.1.101.108:7523
上海乐游高清,http://119.32.12.44:2901/udp/225.1.101.111:7523
欢笑剧场高清,http://119.32.12.44:2901/udp/225.1.101.113:7523
劲爆体育高清,http://119.32.12.44:2901/udp/225.1.101.114:7523
动漫秀场高清,http://119.32.12.44:2901/udp/225.1.101.116:7523
游戏风云高清,http://119.32.12.44:2901/udp/225.1.101.117:7523
魅力足球高清,http://119.32.12.44:2901/udp/225.1.101.120:7523
生活时尚高清,http://119.32.12.44:2901/udp/225.1.101.122:7523
都市剧场高清,http://119.32.12.44:2901/udp/225.1.101.123:7523
重温经典高清,http://119.32.12.44:2901/udp/225.1.101.126:7523
金色学堂高清,http://119.32.12.44:2901/udp/225.1.101.137:7523
高铁电视高清,http://119.32.12.44:2901/udp/225.1.101.147:7523
环球阿拉伯语,http://119.32.12.44:2901/udp/225.1.101.148:7523
卡酷卡通高清,http://119.32.12.44:2901/udp/225.1.101.149:7523
人民铁道高清,http://119.32.12.44:2901/udp/225.1.101.156:7523
新视觉高清ᴴᴰ,http://119.32.12.44:2901/udp/225.1.101.162:7523
环球法语高清,http://119.32.12.44:2901/udp/225.1.101.165:7523
中教四台高清,http://119.32.12.44:2901/udp/225.1.101.170:7523
法治天地高清,http://119.32.12.44:2901/udp/225.1.101.176:7523
纪实科教高清,http://119.32.12.44:2901/udp/225.1.101.182:7523
环球法语高清,http://119.32.12.44:2901/udp/225.1.101.200:7523
